"","X1","station","index","bicycle_count","bus_count","car_count","filename","motorcycle_count","person_count","s3url","time","truck_count","camcode","year","month","day","date","Assets_All_Index","latitude","longitude","region","rotation","street_address","time_pacific","time_est"
"176",44078,NA,871196,0,0,0,"2020-12-11-12-22-42-enc_104_140_cam1.jpg",0,0,"out/2020-12-11-12-22-42-enc_104_140_cam1.jpg",2020-12-11 12:22:42,0,NA,2020,12,11,"12/11/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-11 04:22:42,04:22:42
"177",44079,NA,975538,0,0,5,"2020-12-24-16-22-42-enc_104_140_cam1.jpg",0,0,"out/2020-12-24-16-22-42-enc_104_140_cam1.jpg",2020-12-24 16:22:42,0,NA,2020,12,24,"12/24/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-24 08:22:42,08:22:42
"178",44080,NA,1023828,0,0,7,"2020-12-30-19-22-43-enc_104_140_cam1.jpg",0,1,"out/2020-12-30-19-22-43-enc_104_140_cam1.jpg",2020-12-30 19:22:43,0,NA,2020,12,30,"12/30/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-30 11:22:43,11:22:43
"179",44081,NA,930243,0,0,8,"2020-12-18-23-22-42-enc_104_140_cam1.jpg",0,0,"out/2020-12-18-23-22-42-enc_104_140_cam1.jpg",2020-12-18 23:22:42,0,NA,2020,12,18,"12/18/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-18 15:22:42,15:22:42
"180",44082,NA,946167,0,0,8,"2020-12-20-23-22-43-enc_104_140_cam1.jpg",0,0,"out/2020-12-20-23-22-43-enc_104_140_cam1.jpg",2020-12-20 23:22:43,0,NA,2020,12,20,"12/20/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-20 15:22:43,15:22:43
"181",44083,NA,851085,0,0,6,"2020-12-08-23-22-43-enc_104_140_cam1.jpg",0,0,"out/2020-12-08-23-22-43-enc_104_140_cam1.jpg",2020-12-08 23:22:43,1,NA,2020,12,8,"12/8/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-08 15:22:43,15:22:43
"182",44084,NA,941852,0,0,0,"2020-12-20-10-22-42-enc_104_140_cam1.jpg",0,0,"out/2020-12-20-10-22-42-enc_104_140_cam1.jpg",2020-12-20 10:22:42,0,NA,2020,12,20,"12/20/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-20 02:22:42,02:22:42
"183",44086,NA,801133,0,0,6,"2020-12-02-16-22-43-enc_104_140_cam1.jpg",0,0,"out/2020-12-02-16-22-43-enc_104_140_cam1.jpg",2020-12-02 16:22:43,0,NA,2020,12,2,"12/2/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-02 08:22:43,08:22:43
"184",44088,NA,874175,0,0,6,"2020-12-11-21-22-42-enc_104_140_cam1.jpg",0,0,"out/2020-12-11-21-22-42-enc_104_140_cam1.jpg",2020-12-11 21:22:42,0,NA,2020,12,11,"12/11/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-11 13:22:42,13:22:42
"185",44089,NA,983130,0,0,2,"2020-12-25-15-22-43-enc_104_140_cam1.jpg",0,0,"out/2020-12-25-15-22-43-enc_104_140_cam1.jpg",2020-12-25 15:22:43,0,NA,2020,12,25,"12/25/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-25 07:22:43,07:22:43
